chorus_path,title,artist,rank,year,popularity,file_path,chroma_mean_1,chroma_mean_2,chroma_mean_3,tempo,spectral_centroid,spectral_bandwidth,spectral_rolloff,tonal_centroid_1,tonal_centroid_2,tonal_centroid_3,tonal_centroid_4,tonal_centroid_5,tonal_centroid_6,zero_crossing_rate,tuning
choruss\Lucid Dreams_chorus.wav,Lucid Dreams,Juice WRLD,12,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Lucid Dreams.mp3,0.41755515336990356,0.530769407749176,0.4595080018043518,112.34714673913044,1951.7906076289064,2536.380850042438,4504.889426216621,0.03561446322988749,-0.029228313771746867,-0.037793488535834474,-0.08159908014219941,-0.008100420031289525,0.0073911322200751845,0.044047352699303405,-0.010000000000000009
choruss\Better Now_chorus.wav,Better Now,Post Malone,13,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Better Now.mp3,0.367704838514328,0.29150673747062683,0.5357768535614014,95.703125,2270.6128351451293,2399.831691555329,4709.121524586397,-0.059969458192342576,0.1703882215774513,-0.006519978557462814,-0.02729886676827871,-0.008971169040777938,0.021374710441939032,0.10299786547020123,-0.010000000000000009
choruss\Finesse_chorus.wav,Finesse,Bruno Mars & Cardi B,14,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Finesse.mp3,0.40970033407211304,0.5168972611427307,0.37157371640205383,103.359375,2318.845445415199,2562.429323756179,5185.3353116534445,0.02970980261187134,-0.11586290963111852,-0.04434046445518281,0.04860160483231848,0.014541631543391803,0.001321513101245189,0.08098968411377709,0.010000000000000009
choruss\Boo'd Up_chorus.wav,Boo'd Up,Ella Mai,15,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Boo'd Up.mp3,0.38947996497154236,0.4843701422214508,0.3063584566116333,107.666015625,2499.141624205546,2750.6721859765576,5655.2991365131575,-0.1103543380027044,-0.0030234683614566633,-0.05799882474640899,-0.08659563524988828,0.021130105004003957,0.002214065901416187,0.09960710744001548,0.020000000000000018
choruss\New Rules_chorus.wav,New Rules,Dua Lipa,16,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\New Rules.mp3,0.3862132132053375,0.3759363293647766,0.5443612337112427,117.45383522727273,2996.260139881999,3081.1997807579974,7040.74075893721,0.05403250815473652,0.02950980666363816,-0.04409116096852324,0.004296365736092093,-0.001296474685101912,-0.00216584375067593,0.1138776182759288,-0.010000000000000009
choruss\Sad!_chorus.wav,Sad!,XXXTENTACION,17,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Sad!.mp3,0.44973182678222656,0.409929484128952,0.51044762134552,99.38401442307692,2497.1215166303477,2503.872806598727,5169.268742139126,-0.05111539690168205,0.032813436008439396,0.051077157893324246,0.026684064841929707,0.010308966067004348,0.0065601239234625046,0.10437729779411764,-0.12
choruss\Never Be The Same_chorus.wav,Never Be The Same,Camila Cabello,18,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Never Be The Same.mp3,0.5276261568069458,0.3437785804271698,0.3986585736274719,129.19921875,2296.634129457499,2386.9821957985173,4770.271154822949,0.12788121876132583,0.1569201293765932,-0.00020675043699489945,0.04177108523507913,-0.006444056228559623,0.03235462833420835,0.10876124709752322,0.06000000000000005
choruss\Love Lies_chorus.wav,Love Lies,Khalid & Normani,19,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Love Lies.mp3,0.30057427287101746,0.5086515545845032,0.3114906847476959,143.5546875,2580.9811549789174,2654.5594756765186,5577.382940995066,-0.16566507971041244,-0.03985497336988342,-0.04249878509270054,-0.12069597140519747,0.028861514544431068,-0.013690681706021082,0.11324799245356038,-0.010000000000000009
choruss\No Tears Left To Cry_chorus.wav,No Tears Left To Cry,Ariana Grande,20,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\No Tears Left To Cry.mp3,0.5654621124267578,0.45810550451278687,0.38782739639282227,123.046875,2477.015340559271,2679.19123906126,5447.733724966138,0.11891183003877193,0.18845579810722204,-0.11018477532949232,0.11284414881079065,-0.0222543328680536,0.058699836612076464,0.08196246734713622,0.0
choruss\Mine_chorus.wav,Mine,Bazzi,21,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Mine.mp3,0.2964656352996826,0.4179873764514923,0.5356038808822632,123.046875,3035.025112774334,2725.680524157534,6029.796871976587,0.14450221417814405,0.04191251438158811,0.02376134902377204,-0.02616126667246874,-0.0023159718869397664,-0.013351457148080984,0.16780019470781735,0.040000000000000036
choruss\Thunder_chorus.wav,Thunder,Imagine Dragons,22,2018,Not Popular,C:\Users\lenovo\Documents\gitt\major project technolabs 1\Building-a-Model-to-Predict-Hit-Songs-Using-Repeated-Chorus\audio_files\Thunder.mp3,0.7152432799339294,0.5875144600868225,0.45971688628196716,161.4990234375,1689.2567301723427,2005.5583916236758,3500.3621671221945,0.03083580654137055,0.12259857818516376,-0.10099772758199513,0.12800493847647906,0.0004566760680403001,0.0565153441100667,0.05383338573916409,-0.07
